2019-11-11 16:06:20.481 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-11 16:06:21.441 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-11'.

2019-11-11 16:11:45.829 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-11 16:11:47.198 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-11'.

2019-11-11 16:20:28.756 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-11 16:20:29.860 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-11'.

2019-11-11 20:05:02.643 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-11 20:05:03.644 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-11'.

2019-11-11 20:24:54.853 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-11 20:24:56.315 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-11'.

2019-11-11 20:30:28.681 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-11 20:30:30.094 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-11'.

2019-11-11 20:32:52.069 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.2/' with level Info
2019-11-11 20:32:54.805 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-11-11'.

